g,Level (eV)
8,24.05980400
8,24.06082200
10,24.06082200
10,24.06102200
12,24.06102200
12,24.06108500
14,24.06108500
14,24.06110900
16,24.06110900
6,24.10424000
8,24.10424000
8,24.10527000
10,24.10527000
10,24.10540200
12,24.10540200
12,24.10545200
14,24.10545200
14,24.10547200
16,24.10547200
4,24.13230000
6,24.13230000
6,24.14040700
8,24.14040700
8,24.14107200
10,24.14107200
10,24.14120400
12,24.14120400
14,24.14124500
12,24.14124500
16,24.14126100
14,24.14126100
4,24.27023200
6,24.27187600
8,24.27433900
10,24.27779500
2,24.37008000
4,24.37075700
6,24.37180000
8,24.37305400
4,24.60162400
6,24.60296100
6,24.65351400
4,24.65615100
2,24.65785700
6,24.78955800
8,24.79474800
4,25.06710800
2,25.07017000
2,25.98118500
4,25.98417300
6,25.98985500
2,26.58275000
4,26.58592400
2,26.62681700
4,26.62843700
6,26.63122100
8,26.63549300
4,26.75179600
2,26.82555800
4,26.82765100
6,26.83025100
4,26.88930000
6,26.89500000
2,27.07800000
4,27.22166000
6,27.22323500
8,27.22578800
10,27.22939000
2,27.29208700
4,27.29274800
6,27.29381000
8,27.29518500
4,27.35109600
6,27.35270600
6,27.37715900
4,27.37970000
2,27.38130100
6,27.41152900
8,27.41361700
4,27.41215500
8,27.41264700
6,27.41280200
10,27.41411400
6,27.45765100
8,27.46290500
6,27.46805400
8,27.46920000
10,27.47186800
12,27.47550100
8,27.47331100
10,27.47808400
8,27.48710600
6,27.48825000
4,27.49098300
2,27.49260800
6,27.49099900
4,27.49378500
4,27.55655000
2,27.55989000
2,27.98922000
4,27.99213000
6,27.99786000
2,28.25367400
4,28.25695000
2,28.29054000
4,28.29219000
6,28.29464000
8,28.29900200
4,28.34983300
4,28.36720000
6,28.37240000
2,28.38401000
4,28.38580000
6,28.38834700
2,28.45700000
4,28.56830000
6,28.57005000
8,28.57320000
10,28.57654300
2,28.60925000
4,28.60995000
6,28.61093000
8,28.61242000
6,28.64691000
4,28.64930000
2,28.65107000
6,28.66630000
8,28.66825700
4,28.66667000
6,28.66723000
8,28.66727100
10,28.66872500
6,28.69473000
8,28.69630500
10,28.69905000
12,28.70263000
8,28.69999000
10,28.70472000
8,28.70530100
6,28.70585700
4,28.70869000
2,28.71051000
6,28.70873000
4,28.71107000
2,28.83100000
4,28.83300000
2,28.97150000
4,28.97428000
6,28.98014600
4,29.01400000
6,29.01600000
2,29.09000000
4,29.09200000
2,29.13600000
4,29.13760000
6,29.14006000
8,29.14454000
2,29.15600000
2,29.18960000
4,29.19135000
6,29.19483000
4,29.22800000
6,29.23300000
2,29.31200000
4,29.31260000
6,29.31370000
8,29.31530000
6,29.33190000
4,29.33430000
2,29.33580000
6,29.34610000
8,29.34784000
4,29.34610000
6,29.34680000
8,29.34740000
10,29.34803100
6,29.36123000
8,29.36233000
10,29.36470000
12,29.36951000
8,29.36648000
10,29.37058000
8,29.36910000
2,29.52150000
4,29.52440000
6,29.53020000
2,29.61500000
4,29.61800000
4,29.66800000
6,29.67300000
2,29.73700000
4,29.73700000
6,29.73800000
8,29.74000000
6,29.73700000
4,29.74000000
2,29.74100000
2,29.92700000
4,29.93000000
4,29.95800000
6,29.96300000
2,30.00800000
4,30.00900000
6,30.00900000
8,30.01200000
6,30.00900000
4,30.01100000
2,30.01200000
2,30.13700000
4,30.14000000
4,30.15500000
6,30.16100000
2,30.19500000
4,30.19500000
6,30.19600000
8,30.20000000
6,30.19600000
4,30.19800000
2,30.19900000
2,32.34000000
4,32.35000000
2,33.18400000
4,33.18600000
6,33.18900000
8,33.19300000
2,33.42800000
4,33.43000000
6,33.43300000
4,33.53000000
6,33.53000000
4,34.48500000
6,34.48500000
2,34.55600000
4,34.93400000
2,34.93900000
4,35.34500000
6,35.34500000
2,35.35000000
4,35.54400000
6,35.54600000
4,35.80500000
6,35.80500000
2,35.81000000
4,36.11500000
6,36.11500000
2,36.12000000
4,38.01400000
6,38.01600000
2,38.67000000
4,38.68000000
4,39.25000000
6,39.26000000
4,39.61000000
6,39.61000000
2,39.86000000
2,46.36000000
4,46.37000000
4,46.37000000
6,46.37000000
4,47.76000000
6,47.76000000
4,287.94000000
6,287.94000000
2,288.41000000
4,288.42000000
2,289.91000000
4,292.54000000
2,292.67000000
4,292.67000000
6,292.67000000
8,292.67000000
2,294.77000000
4,294.77000000
6,294.77000000
