g,Level (eV)
7,13.55754000
5,13.55754000
3,13.55754000
3,13.56417000
7,13.56505000
5,13.56505000
3,13.56505000
3,13.57065000
7,13.57101000
5,13.57101000
3,13.57101000
3,13.57539000
5,13.57602000
7,13.57615000
3,13.57615000
7,13.58039000
5,13.58039000
3,13.58039000
3,13.58040000
7,13.58389000
5,13.58389000
3,13.58389000
3,13.58399000
3,13.58730000
7,13.58734000
5,13.58734000
3,13.58734000
3,13.58997000
7,13.58997000
5,13.58997000
3,13.58997000
3,13.59239000
7,13.59239000
5,13.59239000
3,13.59239000
3,13.59458000
7,13.59458000
5,13.59458000
3,13.59458000
3,13.59628000
7,13.59628000
5,13.59628000
3,13.59628000
3,13.59778000
7,13.59778000
5,13.59778000
3,13.59778000
3,13.59936000
7,13.59936000
5,13.59936000
3,13.59936000
3,13.60056000
7,13.60056000
5,13.60056000
3,13.60056000
3,13.60174000
7,13.60174000
5,13.60174000
3,13.60174000
3,13.60277000
7,13.60277000
5,13.60277000
3,13.60277000
3,14.03556240
7,14.04676690
5,14.04677170
3,14.04720140
9,14.09879420
7,14.09965820
5,14.10037140
5,14.12315870
3,14.12445230
1,14.12521400
7,14.13373230
3,14.37201800
5,14.46041270
7,15.17811000
5,15.17978000
3,15.18075000
5,15.22496960
5,15.28685210
3,15.29413430
1,15.29808030
9,15.40052450
7,15.40119620
5,15.40182770
9,15.40362940
11,15.40381140
7,15.40539940
1,15.40411620
7,15.40468000
5,15.40599000
3,15.40677000
9,15.40612520
3,15.40800000
5,15.41361330
7,15.41455600
3,15.41574000
7,15.59417370
5,15.59509070
3,15.59572530
5,15.65509990
3,15.66419150
1,15.66958810
7,15.78103440
5,15.78174390
3,15.78215170
3,15.82878410
5,15.94373760
7,15.99133000
5,15.99275000
3,15.99374000
5,16.01036760
9,16.07664750
9,16.07825110
11,16.07833560
7,16.07994320
1,16.07858430
3,16.07860000
7,16.07980000
5,16.08044000
3,16.08112000
9,16.08069110
5,16.08460000
3,16.08529000
7,16.08534440
11,16.09041390
11,16.09065920
13,16.09066050
11,16.09312800
5,16.11422630
3,16.11538970
1,16.11603060
1,16.23485330
7,16.34787000
5,16.34924000
3,16.35055000
5,16.35800000
9,16.38955440
9,16.39046880
11,16.39051220
3,16.39110000
7,16.39113000
5,16.39242000
3,16.39296000
9,16.39290290
3,16.39475000
5,16.39510000
7,16.39600000
5,16.40449000
3,16.40512000
7,16.53575000
5,16.53686000
3,16.53828000
5,16.54210000
7,16.56017000
5,16.56017000
3,16.56017000
3,16.56040000
3,16.56155000
5,16.56270000
7,16.56320000
5,16.56702000
3,16.56757000
7,16.64678000
5,16.64778000
3,16.64923000
5,16.65170000
7,16.66162000
5,16.66162000
3,16.66162000
3,16.66190000
3,16.66379000
5,16.66460000
7,16.66460000
5,16.66613000
3,16.66676000
7,16.71791000
5,16.71849000
5,16.72160000
7,16.72785000
5,16.72785000
3,16.72785000
3,16.72785000
3,16.72810000
5,16.73000000
7,16.73000000
5,16.73090000
3,16.73131000
7,16.76597000
5,16.76597000
5,16.76910000
7,16.77304000
5,16.77304000
3,16.77304000
3,16.77304000
3,16.77320000
5,16.77550000
3,16.77568000
5,16.77560000
7,16.77560000
7,16.80014000
7,16.80503000
5,16.80503000
3,16.80503000
3,16.80503000
3,16.80510000
5,16.80734000
3,16.80757000
5,16.80790000
7,16.80790000
5,16.82239000
3,16.82239000
1,16.82239000
7,16.82488000
5,16.82750000
7,16.82867000
5,16.82867000
3,16.82867000
3,16.82867000
3,16.82910000
3,16.83107000
5,16.83121000
5,16.83150000
7,16.83150000
7,16.84358000
7,16.84653000
5,16.84653000
3,16.84653000
3,16.84653000
3,16.84780000
3,16.84907000
5,16.84934000
5,16.84970000
7,16.84970000
7,16.86016000
5,16.86016000
3,16.86016000
3,16.86016000
5,16.86321000
3,16.86330000
7,16.87069000
5,16.87069000
