g,Level (eV)
3,15.36608950
3,15.37913640
5,15.37915600
11,15.37981850
9,15.37982200
7,15.38041030
5,15.38044190
5,15.38086700
7,15.38086700
11,15.38110500
13,15.38110500
7,15.38126050
9,15.38126160
7,15.38154800
9,15.38154800
9,15.38180000
11,15.38180000
7,15.39086140
9,15.39086500
7,15.39105300
5,15.39108050
9,15.39242300
11,15.39242300
7,15.39245200
9,15.39245200
3,15.41268400
1,15.42851200
7,15.41731400
5,15.41828900
3,15.42069700
5,15.42129800
1,15.43934250
3,15.44283620
5,15.44891340
3,15.47176700
9,15.44965310
7,15.45456650
3,15.45381800
5,15.45567700
3,15.45474800
1,15.46700460
5,15.45983160
7,15.46269940
5,15.46970600
3,15.47107200
3,15.48031220
5,15.48033600
11,15.48074170
9,15.48074330
7,15.48128410
5,15.48129800
11,15.48156800
13,15.48156800
7,15.48171500
9,15.48171500
7,15.48173600
9,15.48174300
13,15.48177900
15,15.48177900
3,15.50292300
1,15.51321300
7,15.50473600
5,15.50543400
5,15.50626130
3,15.53351700
3,15.50703000
5,15.50734100
5,15.51208160
7,15.51661460
3,15.51486570
1,15.51822700
9,15.52527500
7,15.53142900
5,15.53310000
3,15.58939000
5,15.53413300
7,15.53443500
5,15.53893200
3,15.53916800
1,15.53952100
3,15.54182000
3,15.54592000
5,15.54592500
9,15.54610000
11,15.54620100
7,15.54650500
5,15.54651500
9,15.54683600
7,15.54683700
7,15.55786470
9,15.55786900
7,15.55792710
5,15.55795410
9,15.55886900
11,15.55886900
7,15.55888000
9,15.55888000
3,15.56069400
1,15.56768000
7,15.56247000
5,15.56289000
3,15.56393000
5,15.56421100
1,15.57180700
3,15.57403600
9,15.57633800
7,15.57886100
5,15.57711100
3,15.58705900
5,15.58127800
7,15.58238100
5,15.58597500
3,15.58672400
3,15.59085800
5,15.59085800
9,15.59105500
11,15.59105500
5,15.59134000
7,15.59134000
7,15.59152700
9,15.59152700
3,15.59440000
1,15.60112100
3,15.59519200
5,15.59621400
3,15.60270000
1,15.60822000
5,15.60298000
3,15.60382000
5,15.60387900
1,15.60908200
3,15.60943500
5,15.61041000
3,15.61945000
9,15.61239700
7,15.61364400
5,15.61527300
7,15.61670700
5,15.61945000
3,15.62006500
3,15.62305000
5,15.62305000
5,15.62329000
7,15.62329000
5,15.62859300
3,15.64208000
5,15.62999900
7,15.63311100
3,15.63101000
1,15.63460800
5,15.63185000
