E(eV),QmH(Ang^2)
0.010171,41.337
0.014169,41.613
0.019479,41.744
0.027134,41.731
0.0378,41.862
0.052654,41.705
0.072377,41.404
0.10081,40.959
0.13673,40.082
0.18544,38.917
0.25147,37.464
0.33652,35.867
0.44435,33.838
0.57133,31.522
0.72492,29.063
0.9198,26.604
1.1364,24.001
1.4612,21.685
1.854,19.226
2.4158,17.053
3.1479,15.025
4.0476,12.854
5.136,10.682
6.3457,7.936
8.051,5.476
