300	1.986429e+01	1.842858e+01	1.737929e+01	1.656248e+01	1.592473e+01	1.443696e+01	1.422277e+01	2.293991e+01	2.181522e+01	2.091358e+01	1.915848e+01	1.890753e+01	2.009677e+01	1.812071e+01	1.786519e+01	2.091358e+01
400	1.863279e+01	1.722221e+01	1.625146e+01	1.553518e+01	1.494141e+01	1.443696e+01	1.422277e+01	2.162044e+01	2.056801e+01	1.980460e+01	1.915848e+01	1.890753e+01	1.891239e+01	1.812071e+01	1.786519e+01	1.980460e+01
500	1.770602e+01	1.639283e+01	1.547863e+01	1.475606e+01	1.415916e+01	1.358021e+01	1.305161e+01	2.070624e+01	1.970093e+01	1.897522e+01	1.828014e+01	1.764359e+01	1.811756e+01	1.735415e+01	1.669520e+01	1.897522e+01
600	1.699916e+01	1.569226e+01	1.479062e+01	1.398009e+01	1.332035e+01	1.274544e+01	1.228926e+01	1.996796e+01	1.898464e+01	1.813641e+01	1.737615e+01	1.673021e+01	1.738557e+01	1.653923e+01	1.574064e+01	1.813641e+01
700	1.639283e+01	1.511106e+01	1.414973e+01	1.338004e+01	1.281770e+01	1.236374e+01	1.200285e+01	1.933650e+01	1.827779e+01	1.745469e+01	1.677297e+01	1.625984e+01	1.670699e+01	1.575698e+01	1.501332e+01	1.745469e+01
800	1.589646e+01	1.459270e+01	1.353084e+01	1.293708e+01	1.241243e+01	1.192054e+01	1.144347e+01	1.876473e+01	1.758664e+01	1.696774e+01	1.634989e+01	1.584769e+01	1.602841e+01	1.526438e+01	1.486330e+01	1.696774e+01
900	1.541894e+01	1.415287e+01	1.323553e+01	1.253181e+01	1.195690e+01	1.140959e+01	1.091000e+01	1.829035e+01	1.729133e+01	1.652792e+01	1.589410e+01	1.532942e+01	1.575195e+01	1.515536e+01	1.466528e+01	1.652792e+01
1000	1.502310e+01	1.376960e+01	1.286796e+01	1.216425e+01	1.156106e+01	1.103238e+01	1.059097e+01	1.787252e+01	1.688920e+01	1.612265e+01	1.547149e+01	1.489092e+01	1.536553e+01	1.461094e+01	1.385724e+01	1.612265e+01
1100	1.467087e+01	1.342659e+01	1.252117e+01	1.182480e+01	1.121675e+01	1.070332e+01	1.027028e+01	1.749812e+01	1.650707e+01	1.574653e+01	1.508131e+01	1.449449e+01	1.499736e+01	1.425092e+01	1.365585e+01	1.574653e+01
1200	1.434451e+01	1.311615e+01	1.222394e+01	1.151080e+01	1.090761e+01	1.040250e+01	9.972675e+00	1.715938e+01	1.618234e+01	1.539695e+01	1.472464e+01	1.414248e+01	1.468695e+01	1.396177e+01	1.335506e+01	1.539695e+01
1300	1.404270e+01	1.283175e+01	1.194448e+01	1.122357e+01	1.062746e+01	1.013022e+01	9.707781e+00	1.684714e+01	1.587372e+01	1.507422e+01	1.440212e+01	1.382997e+01	1.439304e+01	1.364421e+01	1.297461e+01	1.507422e+01
1400	1.376446e+01	1.256909e+01	1.167862e+01	1.096077e+01	1.037212e+01	9.882580e+00	9.466828e+00	1.655707e+01	1.557680e+01	1.477655e+01	1.410848e+01	1.354601e+01	1.411093e+01	1.334367e+01	1.268126e+01	1.477655e+01
1500	1.350885e+01	1.232447e+01	1.142911e+01	1.071911e+01	1.013792e+01	9.655074e+00	9.244207e+00	1.628602e+01	1.529641e+01	1.450159e+01	1.383965e+01	1.328648e+01	1.384500e+01	1.307643e+01	1.244592e+01	1.450159e+01
1600	1.327461e+01	1.209461e+01	1.119790e+01	1.049556e+01	9.921464e+00	9.444321e+00	9.037629e+00	1.603118e+01	1.503618e+01	1.424700e+01	1.359219e+01	1.304708e+01	1.359855e+01	1.283927e+01	1.223371e+01	1.424700e+01
1700	1.305905e+01	1.187816e+01	1.098377e+01	1.028798e+01	9.720420e+00	9.248382e+00	8.844936e+00	1.579114e+01	1.479498e+01	1.401048e+01	1.336268e+01	1.282291e+01	1.337045e+01	1.262226e+01	1.202849e+01	1.401048e+01
1800	1.285915e+01	1.167423e+01	1.078472e+01	1.009447e+01	9.532727e+00	9.064607e+00	8.661491e+00	1.556478e+01	1.457048e+01	1.378973e+01	1.314767e+01	1.260901e+01	1.315844e+01	1.242013e+01	1.183071e+01	1.378973e+01
1900	1.267184e+01	1.148191e+01	1.059873e+01	9.913135e+00	9.356327e+00	8.890056e+00	8.483480e+00	1.535102e+01	1.436036e+01	1.358244e+01	1.294372e+01	1.240122e+01	1.296028e+01	1.222931e+01	1.163807e+01	1.358244e+01
2000	1.249411e+01	1.130031e+01	1.042380e+01	9.742079e+00	9.189159e+00	8.722228e+00	8.310798e+00	1.514876e+01	1.416230e+01	1.338633e+01	1.274793e+01	1.219966e+01	1.277372e+01	1.204672e+01	1.145114e+01	1.338633e+01
2100	1.232341e+01	1.112858e+01	1.025817e+01	9.579649e+00	9.029475e+00	8.560913e+00	8.147965e+00	1.495697e+01	1.397426e+01	1.319940e+01	1.255993e+01	1.200986e+01	1.259678e+01	1.187196e+01	1.127621e+01	1.319940e+01
2200	1.215913e+01	1.096601e+01	1.010102e+01	9.425180e+00	8.876784e+00	8.407601e+00	7.997260e+00	1.477485e+01	1.379530e+01	1.302092e+01	1.238121e+01	1.183394e+01	1.242857e+01	1.170629e+01	1.111458e+01	1.302092e+01
2300	1.200119e+01	1.081192e+01	9.951761e+00	9.278253e+00	8.730904e+00	8.262483e+00	7.856680e+00	1.460167e+01	1.362480e+01	1.285047e+01	1.221166e+01	1.166863e+01	1.226847e+01	1.154921e+01	1.096166e+01	1.285047e+01
2400	1.184949e+01	1.066566e+01	9.809816e+00	9.138449e+00	8.591658e+00	8.125304e+00	7.725282e+00	1.443670e+01	1.346209e+01	1.268763e+01	1.205067e+01	1.151226e+01	1.211585e+01	1.139974e+01	1.081504e+01	1.268763e+01
2500	1.170392e+01	1.052656e+01	9.674603e+00	9.005349e+00	8.458864e+00	7.995801e+00	7.602710e+00	1.427919e+01	1.330654e+01	1.253199e+01	1.189759e+01	1.136381e+01	1.197009e+01	1.125687e+01	1.067322e+01	1.253199e+01
2600	1.156439e+01	1.039393e+01	9.545543e+00	8.878534e+00	8.332343e+00	7.873725e+00	7.488623e+00	1.412842e+01	1.315749e+01	1.238312e+01	1.175175e+01	1.122246e+01	1.183056e+01	1.111959e+01	1.053476e+01	1.238312e+01
2700	1.143080e+01	1.026712e+01	9.422053e+00	8.757586e+00	8.211916e+00	7.758816e+00	7.382656e+00	1.398365e+01	1.301431e+01	1.224059e+01	1.161259e+01	1.108747e+01	1.169664e+01	1.098695e+01	1.039817e+01	1.224059e+01
2800	1.130305e+01	1.014545e+01	9.303554e+00	8.642085e+00	8.097402e+00	7.650816e+00	7.284465e+00	1.384414e+01	1.287635e+01	1.210401e+01	1.147947e+01	1.095769e+01	1.156771e+01	1.085791e+01	1.026176e+01	1.210401e+01
2900	1.118105e+01	1.002826e+01	9.189464e+00	8.531613e+00	7.988623e+00	7.549472e+00	7.193516e+00	1.370915e+01	1.274296e+01	1.197293e+01	1.135170e+01	1.083251e+01	1.144314e+01	1.073145e+01	1.012496e+01	1.197293e+01
3000	1.106469e+01	9.914866e+00	9.079203e+00	8.425751e+00	7.885398e+00	7.454427e+00	7.108321e+00	1.357796e+01	1.261349e+01	1.184695e+01	1.122883e+01	1.071249e+01	1.132230e+01	1.060695e+01	9.991970e+00	1.184695e+01
3100	1.095380e+01	9.804721e+00	8.972282e+00	8.324111e+00	7.787503e+00	7.364882e+00	7.026545e+00	1.344997e+01	1.248744e+01	1.172568e+01	1.111074e+01	1.059899e+01	1.120469e+01	1.048546e+01	9.869954e+00	1.172568e+01
