E[eV],eta0[rad],eta1[rad],eta2[rad],eta3[rad],Bell 1984 Ar_e- Phase Shifts
1,-0.1625,0.0114,0.0274,0.00788,
1.5,-0.2513,-0.0154,0.0439,0.0116,
2,-0.3434,-0.0425,0.0627,0.018,
3,-0.4904,-0.1149,0.1117,0.022,
4,-0.7045,-0.178,0.186,0.0447,
5,-0.7253,-0.277,0.267,0.0149,
7.5,-0.9061,-0.4027,0.5118,0.058,
10,-1.1031,-0.4245,0.8638,0.091,
